分類コード,金額,地域コード,年,月
1.1.1,4275,01100,2025,5
1.1.2,2322,01100,2025,5
1.1.3,2160,01100,2025,5
1.1.4,402,01100,2025,5
1.2.1,2657,01100,2025,5
1.2.2,796,01100,2025,5
1.2.3,493,01100,2025,5
1.2.4,906,01100,2025,5
1.3.1,6930,01100,2025,5
1.3.2,1848,01100,2025,5
1.4.1,977,01100,2025,5
1.4.2,1854,01100,2025,5
1.4.3,983,01100,2025,5
1.5.1,5431,01100,2025,5
1.5.2,614,01100,2025,5
1.5.3,826,01100,2025,5
1.5.4,814,01100,2025,5
1.6.1,1753,01100,2025,5
1.6.2,104,01100,2025,5
1.7.1,375,01100,2025,5
1.7.2,3200,01100,2025,5
1.9.1,3929,01100,2025,5
1.9.2,5527,01100,2025,5
1.10.1,1087,01100,2025,5
1.10.2,1305,01100,2025,5
1.10.3,3312,01100,2025,5
1.12.1,14689,01100,2025,5
1.12.2,975,01100,2025,5
2.2.1,348,01100,2025,5
2.2.2,1811,01100,2025,5
4.1.1,1814,01100,2025,5
4.1.2,822,01100,2025,5
4.1.3,285,01100,2025,5
5.2.1,2038,01100,2025,5
5.2.2,2001,01100,2025,5
5.2.3,469,01100,2025,5
5.3.1,1254,01100,2025,5
5.3.2,1538,01100,2025,5
5.3.3,167,01100,2025,5
5.4.1,282,01100,2025,5
5.4.2,609,01100,2025,5
5.4.3,159,01100,2025,5
7.2.1,27978,01100,2025,5
7.2.2,706,01100,2025,5
7.2.3,24931,01100,2025,5
9.4.1,3813,01100,2025,5
9.4.2,3590,01100,2025,5
9.4.3,1661,01100,2025,5
9.4.4,11896,01100,2025,5
10.1.1,1998,01100,2025,5
10.1.2,6344,01100,2025,5
10.1.3,1922,01100,2025,5
10.1.4,1063,01100,2025,5
10.1.5,12765,01100,2025,5
10.3.1,4591,01100,2025,5
10.3.2,58,01100,2025,5
10.3.3,476,01100,2025,5
10.3.4,581,01100,2025,5
10.3.5,422,01100,2025,5
10.3.6,3858,01100,2025,5
10.3.7,4772,01100,2025,5
1.1.1,5070,02201,2025,5
1.1.2,2188,02201,2025,5
1.1.3,1889,02201,2025,5
1.1.4,299,02201,2025,5
1.2.1,2897,02201,2025,5
1.2.2,963,02201,2025,5
1.2.3,352,02201,2025,5
1.2.4,863,02201,2025,5
1.3.1,6638,02201,2025,5
1.3.2,2036,02201,2025,5
1.4.1,1475,02201,2025,5
1.4.2,1823,02201,2025,5
1.4.3,914,02201,2025,5
1.5.1,5384,02201,2025,5
1.5.2,687,02201,2025,5
1.5.3,1199,02201,2025,5
1.5.4,1133,02201,2025,5
1.6.1,1965,02201,2025,5
1.6.2,294,02201,2025,5
1.7.1,344,02201,2025,5
1.7.2,3292,02201,2025,5
1.9.1,5043,02201,2025,5
1.9.2,6938,02201,2025,5
1.10.1,772,02201,2025,5
1.10.2,1418,02201,2025,5
1.10.3,3283,02201,2025,5
1.12.1,11018,02201,2025,5
1.12.2,372,02201,2025,5
2.2.1,236,02201,2025,5
2.2.2,501,02201,2025,5
4.1.1,1188,02201,2025,5
4.1.2,0,02201,2025,5
4.1.3,0,02201,2025,5
5.2.1,332,02201,2025,5
5.2.2,1064,02201,2025,5
5.2.3,772,02201,2025,5
5.3.1,420,02201,2025,5
5.3.2,523,02201,2025,5
5.3.3,202,02201,2025,5
5.4.1,601,02201,2025,5
5.4.2,213,02201,2025,5
5.4.3,623,02201,2025,5
7.2.1,0,02201,2025,5
7.2.2,1983,02201,2025,5
7.2.3,24309,02201,2025,5
9.4.1,0,02201,2025,5
9.4.2,1933,02201,2025,5
9.4.3,583,02201,2025,5
9.4.4,9634,02201,2025,5
10.1.1,2070,02201,2025,5
10.1.2,4539,02201,2025,5
10.1.3,1051,02201,2025,5
10.1.4,2459,02201,2025,5
10.1.5,8314,02201,2025,5
10.3.1,1642,02201,2025,5
10.3.2,158,02201,2025,5
10.3.3,168,02201,2025,5
10.3.4,122,02201,2025,5
10.3.5,112,02201,2025,5
10.3.6,1269,02201,2025,5
10.3.7,1667,02201,2025,5
1.1.1,3064,03201,2025,5
1.1.2,1926,03201,2025,5
1.1.3,1910,03201,2025,5
1.1.4,406,03201,2025,5
1.2.1,2185,03201,2025,5
1.2.2,711,03201,2025,5
1.2.3,388,03201,2025,5
1.2.4,868,03201,2025,5
1.3.1,5404,03201,2025,5
1.3.2,1500,03201,2025,5
1.4.1,1049,03201,2025,5
1.4.2,1695,03201,2025,5
1.4.3,1074,03201,2025,5
1.5.1,5842,03201,2025,5
1.5.2,659,03201,2025,5
1.5.3,1303,03201,2025,5
1.5.4,893,03201,2025,5
1.6.1,1653,03201,2025,5
1.6.2,412,03201,2025,5
1.7.1,318,03201,2025,5
1.7.2,3283,03201,2025,5
1.9.1,4169,03201,2025,5
1.9.2,5775,03201,2025,5
1.10.1,931,03201,2025,5
1.10.2,1063,03201,2025,5
1.10.3,2962,03201,2025,5
1.12.1,17970,03201,2025,5
1.12.2,2138,03201,2025,5
2.2.1,102,03201,2025,5
2.2.2,242,03201,2025,5
4.1.1,5959,03201,2025,5
4.1.2,0,03201,2025,5
4.1.3,150,03201,2025,5
5.2.1,1751,03201,2025,5
5.2.2,1814,03201,2025,5
5.2.3,197,03201,2025,5
5.3.1,954,03201,2025,5
5.3.2,916,03201,2025,5
5.3.3,294,03201,2025,5
5.4.1,76,03201,2025,5
5.4.2,446,03201,2025,5
5.4.3,210,03201,2025,5
7.2.1,0,03201,2025,5
7.2.2,0,03201,2025,5
7.2.3,22993,03201,2025,5
9.4.1,666,03201,2025,5
9.4.2,0,03201,2025,5
9.4.3,2064,03201,2025,5
9.4.4,8887,03201,2025,5
10.1.1,3058,03201,2025,5
10.1.2,4100,03201,2025,5
10.1.3,1810,03201,2025,5
10.1.4,1466,03201,2025,5
10.1.5,9751,03201,2025,5
10.3.1,2811,03201,2025,5
10.3.2,50,03201,2025,5
10.3.3,718,03201,2025,5
10.3.4,293,03201,2025,5
10.3.5,271,03201,2025,5
10.3.6,4849,03201,2025,5
10.3.7,6197,03201,2025,5
1.1.1,2025,04100,2025,5
1.1.2,2958,04100,2025,5
1.1.3,2010,04100,2025,5
1.1.4,530,04100,2025,5
1.2.1,2191,04100,2025,5
1.2.2,864,04100,2025,5
1.2.3,591,04100,2025,5
1.2.4,751,04100,2025,5
1.3.1,5380,04100,2025,5
1.3.2,1551,04100,2025,5
1.4.1,1931,04100,2025,5
1.4.2,2102,04100,2025,5
1.4.3,1201,04100,2025,5
1.5.1,6198,04100,2025,5
1.5.2,776,04100,2025,5
1.5.3,1321,04100,2025,5
1.5.4,1102,04100,2025,5
1.6.1,2113,04100,2025,5
1.6.2,241,04100,2025,5
1.7.1,410,04100,2025,5
1.7.2,3532,04100,2025,5
1.9.1,6168,04100,2025,5
1.9.2,6282,04100,2025,5
1.10.1,1520,04100,2025,5
1.10.2,1045,04100,2025,5
1.10.3,3924,04100,2025,5
1.12.1,12884,04100,2025,5
1.12.2,713,04100,2025,5
2.2.1,685,04100,2025,5
2.2.2,1315,04100,2025,5
4.1.1,443,04100,2025,5
4.1.2,85,04100,2025,5
4.1.3,9762,04100,2025,5
5.2.1,2361,04100,2025,5
5.2.2,2016,04100,2025,5
5.2.3,909,04100,2025,5
5.3.1,1732,04100,2025,5
5.3.2,1084,04100,2025,5
5.3.3,487,04100,2025,5
5.4.1,436,04100,2025,5
5.4.2,298,04100,2025,5
5.4.3,285,04100,2025,5
7.2.1,0,04100,2025,5
7.2.2,0,04100,2025,5
7.2.3,17517,04100,2025,5
9.4.1,661,04100,2025,5
9.4.2,0,04100,2025,5
9.4.3,2308,04100,2025,5
9.4.4,9812,04100,2025,5
10.1.1,4073,04100,2025,5
10.1.2,6370,04100,2025,5
10.1.3,796,04100,2025,5
10.1.4,965,04100,2025,5
10.1.5,14293,04100,2025,5
10.3.1,3172,04100,2025,5
10.3.2,1249,04100,2025,5
10.3.3,25,04100,2025,5
10.3.4,2043,04100,2025,5
10.3.5,36,04100,2025,5
10.3.6,2699,04100,2025,5
10.3.7,6033,04100,2025,5
1.1.1,2141,05201,2025,5
1.1.2,2711,05201,2025,5
1.1.3,2427,05201,2025,5
1.1.4,368,05201,2025,5
1.2.1,3182,05201,2025,5
1.2.2,1603,05201,2025,5
1.2.3,549,05201,2025,5
1.2.4,1059,05201,2025,5
1.3.1,6889,05201,2025,5
1.3.2,2499,05201,2025,5
1.4.1,1308,05201,2025,5
1.4.2,2197,05201,2025,5
1.4.3,1242,05201,2025,5
1.5.1,6372,05201,2025,5
1.5.2,1103,05201,2025,5
1.5.3,1233,05201,2025,5
1.5.4,1313,05201,2025,5
1.6.1,1910,05201,2025,5
1.6.2,249,05201,2025,5
1.7.1,390,05201,2025,5
1.7.2,3805,05201,2025,5
1.9.1,5499,05201,2025,5
1.9.2,7293,05201,2025,5
1.10.1,1106,05201,2025,5
1.10.2,1274,05201,2025,5
1.10.3,3388,05201,2025,5
1.12.1,17057,05201,2025,5
1.12.2,3030,05201,2025,5
2.2.1,151,05201,2025,5
2.2.2,133,05201,2025,5
4.1.1,623,05201,2025,5
4.1.2,963,05201,2025,5
4.1.3,0,05201,2025,5
5.2.1,385,05201,2025,5
5.2.2,941,05201,2025,5
5.2.3,870,05201,2025,5
5.3.1,784,05201,2025,5
5.3.2,1255,05201,2025,5
5.3.3,331,05201,2025,5
5.4.1,517,05201,2025,5
5.4.2,649,05201,2025,5
5.4.3,217,05201,2025,5
7.2.1,0,05201,2025,5
7.2.2,709,05201,2025,5
7.2.3,21758,05201,2025,5
9.4.1,618,05201,2025,5
9.4.2,373,05201,2025,5
9.4.3,3566,05201,2025,5
9.4.4,11516,05201,2025,5
10.1.1,2227,05201,2025,5
10.1.2,4663,05201,2025,5
10.1.3,1311,05201,2025,5
10.1.4,2135,05201,2025,5
10.1.5,12780,05201,2025,5
10.3.1,2254,05201,2025,5
10.3.2,857,05201,2025,5
10.3.3,466,05201,2025,5
10.3.4,186,05201,2025,5
10.3.5,837,05201,2025,5
10.3.6,1415,05201,2025,5
10.3.7,5912,05201,2025,5
1.1.1,2705,06201,2025,5
1.1.2,2542,06201,2025,5
1.1.3,2386,06201,2025,5
1.1.4,442,06201,2025,5
1.2.1,2407,06201,2025,5
1.2.2,1074,06201,2025,5
1.2.3,554,06201,2025,5
1.2.4,955,06201,2025,5
1.3.1,6690,06201,2025,5
1.3.2,2223,06201,2025,5
1.4.1,1127,06201,2025,5
1.4.2,2191,06201,2025,5
1.4.3,931,06201,2025,5
1.5.1,6123,06201,2025,5
1.5.2,907,06201,2025,5
1.5.3,1347,06201,2025,5
1.5.4,1126,06201,2025,5
1.6.1,1664,06201,2025,5
1.6.2,322,06201,2025,5
1.7.1,256,06201,2025,5
1.7.2,3647,06201,2025,5
1.9.1,5182,06201,2025,5
1.9.2,6294,06201,2025,5
1.10.1,1262,06201,2025,5
1.10.2,1340,06201,2025,5
1.10.3,2592,06201,2025,5
1.12.1,18923,06201,2025,5
1.12.2,338,06201,2025,5
2.2.1,789,06201,2025,5
2.2.2,17855,06201,2025,5
4.1.1,1159,06201,2025,5
4.1.2,30,06201,2025,5
4.1.3,31,06201,2025,5
5.2.1,669,06201,2025,5
5.2.2,2658,06201,2025,5
5.2.3,255,06201,2025,5
5.3.1,1059,06201,2025,5
5.3.2,1291,06201,2025,5
5.3.3,400,06201,2025,5
5.4.1,413,06201,2025,5
5.4.2,846,06201,2025,5
5.4.3,322,06201,2025,5
7.2.1,0,06201,2025,5
7.2.2,0,06201,2025,5
7.2.3,23106,06201,2025,5
9.4.1,3691,06201,2025,5
9.4.2,205,06201,2025,5
9.4.3,4614,06201,2025,5
9.4.4,12243,06201,2025,5
10.1.1,4291,06201,2025,5
10.1.2,4018,06201,2025,5
10.1.3,1117,06201,2025,5
10.1.4,283,06201,2025,5
10.1.5,19868,06201,2025,5
10.3.1,3948,06201,2025,5
10.3.2,93,06201,2025,5
10.3.3,491,06201,2025,5
10.3.4,2909,06201,2025,5
10.3.5,749,06201,2025,5
10.3.6,6102,06201,2025,5
10.3.7,4642,06201,2025,5
1.1.1,3473,07201,2025,5
1.1.2,3200,07201,2025,5
1.1.3,1971,07201,2025,5
1.1.4,349,07201,2025,5
1.2.1,2394,07201,2025,5
1.2.2,1378,07201,2025,5
1.2.3,595,07201,2025,5
1.2.4,1116,07201,2025,5
1.3.1,6074,07201,2025,5
1.3.2,1824,07201,2025,5
1.4.1,1046,07201,2025,5
1.4.2,2513,07201,2025,5
1.4.3,1359,07201,2025,5
1.5.1,6777,07201,2025,5
1.5.2,902,07201,2025,5
1.5.3,1531,07201,2025,5
1.5.4,1063,07201,2025,5
1.6.1,2275,07201,2025,5
1.6.2,219,07201,2025,5
1.7.1,389,07201,2025,5
1.7.2,3670,07201,2025,5
1.9.1,5894,07201,2025,5
1.9.2,9063,07201,2025,5
1.10.1,1508,07201,2025,5
1.10.2,1387,07201,2025,5
1.10.3,3438,07201,2025,5
1.12.1,18521,07201,2025,5
1.12.2,1168,07201,2025,5
2.2.1,712,07201,2025,5
2.2.2,14762,07201,2025,5
4.1.1,201,07201,2025,5
4.1.2,101,07201,2025,5
4.1.3,0,07201,2025,5
5.2.1,2512,07201,2025,5
5.2.2,742,07201,2025,5
5.2.3,317,07201,2025,5
5.3.1,1489,07201,2025,5
5.3.2,1796,07201,2025,5
5.3.3,359,07201,2025,5
5.4.1,175,07201,2025,5
5.4.2,456,07201,2025,5
5.4.3,93,07201,2025,5
7.2.1,18510,07201,2025,5
7.2.2,0,07201,2025,5
7.2.3,43452,07201,2025,5
9.4.1,2650,07201,2025,5
9.4.2,84,07201,2025,5
9.4.3,2802,07201,2025,5
9.4.4,10199,07201,2025,5
10.1.1,4801,07201,2025,5
10.1.2,6864,07201,2025,5
10.1.3,1297,07201,2025,5
10.1.4,274,07201,2025,5
10.1.5,15426,07201,2025,5
10.3.1,6655,07201,2025,5
10.3.2,206,07201,2025,5
10.3.3,336,07201,2025,5
10.3.4,1805,07201,2025,5
10.3.5,1131,07201,2025,5
10.3.6,5127,07201,2025,5
10.3.7,8726,07201,2025,5
1.1.1,3655,08201,2025,5
1.1.2,2539,08201,2025,5
1.1.3,1600,08201,2025,5
1.1.4,392,08201,2025,5
1.2.1,3407,08201,2025,5
1.2.2,866,08201,2025,5
1.2.3,541,08201,2025,5
1.2.4,1195,08201,2025,5
1.3.1,4951,08201,2025,5
1.3.2,1269,08201,2025,5
1.4.1,1055,08201,2025,5
1.4.2,2414,08201,2025,5
1.4.3,1126,08201,2025,5
1.5.1,5761,08201,2025,5
1.5.2,711,08201,2025,5
1.5.3,1275,08201,2025,5
1.5.4,930,08201,2025,5
1.6.1,2170,08201,2025,5
1.6.2,275,08201,2025,5
1.7.1,296,08201,2025,5
1.7.2,3107,08201,2025,5
1.9.1,6090,08201,2025,5
1.9.2,5761,08201,2025,5
1.10.1,1006,08201,2025,5
1.10.2,1663,08201,2025,5
1.10.3,3629,08201,2025,5
1.12.1,21950,08201,2025,5
1.12.2,0,08201,2025,5
2.2.1,200,08201,2025,5
2.2.2,1071,08201,2025,5
4.1.1,11933,08201,2025,5
4.1.2,7307,08201,2025,5
4.1.3,0,08201,2025,5
5.2.1,927,08201,2025,5
5.2.2,2040,08201,2025,5
5.2.3,544,08201,2025,5
5.3.1,611,08201,2025,5
5.3.2,2897,08201,2025,5
5.3.3,171,08201,2025,5
5.4.1,251,08201,2025,5
5.4.2,361,08201,2025,5
5.4.3,105,08201,2025,5
7.2.1,0,08201,2025,5
7.2.2,0,08201,2025,5
7.2.3,37332,08201,2025,5
9.4.1,3163,08201,2025,5
9.4.2,49,08201,2025,5
9.4.3,11646,08201,2025,5
9.4.4,10673,08201,2025,5
10.1.1,2716,08201,2025,5
10.1.2,5018,08201,2025,5
10.1.3,3875,08201,2025,5
10.1.4,2221,08201,2025,5
10.1.5,16485,08201,2025,5
10.3.1,7946,08201,2025,5
10.3.2,261,08201,2025,5
10.3.3,607,08201,2025,5
10.3.4,2229,08201,2025,5
10.3.5,290,08201,2025,5
10.3.6,1920,08201,2025,5
10.3.7,4890,08201,2025,5
1.1.1,2093,09201,2025,5
1.1.2,3113,09201,2025,5
1.1.3,1728,09201,2025,5
1.1.4,528,09201,2025,5
1.2.1,2053,09201,2025,5
1.2.2,924,09201,2025,5
1.2.3,392,09201,2025,5
1.2.4,746,09201,2025,5
1.3.1,6238,09201,2025,5
1.3.2,1242,09201,2025,5
1.4.1,1343,09201,2025,5
1.4.2,1890,09201,2025,5
1.4.3,1012,09201,2025,5
1.5.1,5150,09201,2025,5
1.5.2,688,09201,2025,5
1.5.3,1020,09201,2025,5
1.5.4,933,09201,2025,5
1.6.1,1910,09201,2025,5
1.6.2,265,09201,2025,5
1.7.1,418,09201,2025,5
1.7.2,3279,09201,2025,5
1.9.1,5958,09201,2025,5
1.9.2,7987,09201,2025,5
1.10.1,1229,09201,2025,5
1.10.2,1259,09201,2025,5
1.10.3,4557,09201,2025,5
1.12.1,18290,09201,2025,5
1.12.2,1024,09201,2025,5
2.2.1,1560,09201,2025,5
2.2.2,1474,09201,2025,5
4.1.1,1884,09201,2025,5
4.1.2,3039,09201,2025,5
4.1.3,1082,09201,2025,5
5.2.1,4097,09201,2025,5
5.2.2,1065,09201,2025,5
5.2.3,154,09201,2025,5
5.3.1,865,09201,2025,5
5.3.2,941,09201,2025,5
5.3.3,248,09201,2025,5
5.4.1,431,09201,2025,5
5.4.2,438,09201,2025,5
5.4.3,232,09201,2025,5
7.2.1,0,09201,2025,5
7.2.2,0,09201,2025,5
7.2.3,22783,09201,2025,5
9.4.1,1438,09201,2025,5
9.4.2,4925,09201,2025,5
9.4.3,2338,09201,2025,5
9.4.4,11839,09201,2025,5
10.1.1,3506,09201,2025,5
10.1.2,6544,09201,2025,5
10.1.3,1399,09201,2025,5
10.1.4,1988,09201,2025,5
10.1.5,11455,09201,2025,5
10.3.1,2772,09201,2025,5
10.3.2,324,09201,2025,5
10.3.3,963,09201,2025,5
10.3.4,962,09201,2025,5
10.3.5,200,09201,2025,5
10.3.6,3258,09201,2025,5
10.3.7,3624,09201,2025,5
1.1.1,4437,10201,2025,5
1.1.2,3217,10201,2025,5
1.1.3,1882,10201,2025,5
1.1.4,570,10201,2025,5
1.2.1,2435,10201,2025,5
1.2.2,774,10201,2025,5
1.2.3,568,10201,2025,5
1.2.4,921,10201,2025,5
1.3.1,6292,10201,2025,5
1.3.2,1554,10201,2025,5
1.4.1,1004,10201,2025,5
1.4.2,2705,10201,2025,5
1.4.3,1271,10201,2025,5
1.5.1,6046,10201,2025,5
1.5.2,1141,10201,2025,5
1.5.3,1376,10201,2025,5
1.5.4,1065,10201,2025,5
1.6.1,2026,10201,2025,5
1.6.2,367,10201,2025,5
1.7.1,366,10201,2025,5
1.7.2,3285,10201,2025,5
1.9.1,7673,10201,2025,5
1.9.2,7176,10201,2025,5
1.10.1,1967,10201,2025,5
1.10.2,1309,10201,2025,5
1.10.3,3850,10201,2025,5
1.12.1,14327,10201,2025,5
1.12.2,75,10201,2025,5
2.2.1,1234,10201,2025,5
2.2.2,10318,10201,2025,5
4.1.1,0,10201,2025,5
4.1.2,532,10201,2025,5
4.1.3,0,10201,2025,5
5.2.1,2213,10201,2025,5
5.2.2,1663,10201,2025,5
5.2.3,615,10201,2025,5
5.3.1,924,10201,2025,5
5.3.2,1495,10201,2025,5
5.3.3,126,10201,2025,5
5.4.1,482,10201,2025,5
5.4.2,756,10201,2025,5
5.4.3,43,10201,2025,5
7.2.1,0,10201,2025,5
7.2.2,0,10201,2025,5
7.2.3,31056,10201,2025,5
9.4.1,967,10201,2025,5
9.4.2,477,10201,2025,5
9.4.3,1477,10201,2025,5
9.4.4,7746,10201,2025,5
10.1.1,3359,10201,2025,5
10.1.2,6179,10201,2025,5
10.1.3,999,10201,2025,5
10.1.4,1011,10201,2025,5
10.1.5,11722,10201,2025,5
10.3.1,3071,10201,2025,5
10.3.2,206,10201,2025,5
10.3.3,298,10201,2025,5
10.3.4,2304,10201,2025,5
10.3.5,201,10201,2025,5
10.3.6,6188,10201,2025,5
10.3.7,1822,10201,2025,5
1.1.1,2975,11100,2025,5
1.1.2,3908,11100,2025,5
1.1.3,1829,11100,2025,5
1.1.4,589,11100,2025,5
1.2.1,2673,11100,2025,5
1.2.2,729,11100,2025,5
1.2.3,484,11100,2025,5
1.2.4,647,11100,2025,5
1.3.1,6592,11100,2025,5
1.3.2,1611,11100,2025,5
1.4.1,1542,11100,2025,5
1.4.2,2536,11100,2025,5
1.4.3,1067,11100,2025,5
1.5.1,6363,11100,2025,5
1.5.2,593,11100,2025,5
1.5.3,1213,11100,2025,5
1.5.4,1079,11100,2025,5
1.6.1,2115,11100,2025,5
1.6.2,266,11100,2025,5
1.7.1,447,11100,2025,5
1.7.2,3598,11100,2025,5
1.9.1,7528,11100,2025,5
1.9.2,8129,11100,2025,5
1.10.1,1676,11100,2025,5
1.10.2,1584,11100,2025,5
1.10.3,3562,11100,2025,5
1.12.1,26592,11100,2025,5
1.12.2,558,11100,2025,5
2.2.1,1753,11100,2025,5
2.2.2,2610,11100,2025,5
4.1.1,7624,11100,2025,5
4.1.2,238,11100,2025,5
4.1.3,702,11100,2025,5
5.2.1,1521,11100,2025,5
5.2.2,2036,11100,2025,5
5.2.3,1215,11100,2025,5
5.3.1,1753,11100,2025,5
5.3.2,2116,11100,2025,5
5.3.3,189,11100,2025,5
5.4.1,505,11100,2025,5
5.4.2,1104,11100,2025,5
5.4.3,346,11100,2025,5
7.2.1,0,11100,2025,5
7.2.2,0,11100,2025,5
7.2.3,22312,11100,2025,5
9.4.1,4670,11100,2025,5
9.4.2,1120,11100,2025,5
9.4.3,2269,11100,2025,5
9.4.4,16394,11100,2025,5
10.1.1,5535,11100,2025,5
10.1.2,9333,11100,2025,5
10.1.3,1939,11100,2025,5
10.1.4,1345,11100,2025,5
10.1.5,13383,11100,2025,5
10.3.1,3784,11100,2025,5
10.3.2,320,11100,2025,5
10.3.3,1127,11100,2025,5
10.3.4,683,11100,2025,5
10.3.5,474,11100,2025,5
10.3.6,12054,11100,2025,5
10.3.7,8087,11100,2025,5
1.1.1,4279,12100,2025,5
1.1.2,2408,12100,2025,5
1.1.3,1929,12100,2025,5
1.1.4,548,12100,2025,5
1.2.1,3155,12100,2025,5
1.2.2,897,12100,2025,5
1.2.3,393,12100,2025,5
1.2.4,681,12100,2025,5
1.3.1,7877,12100,2025,5
1.3.2,1298,12100,2025,5
1.4.1,1044,12100,2025,5
1.4.2,1711,12100,2025,5
1.4.3,1130,12100,2025,5
1.5.1,6407,12100,2025,5
1.5.2,710,12100,2025,5
1.5.3,1104,12100,2025,5
1.5.4,981,12100,2025,5
1.6.1,2088,12100,2025,5
1.6.2,190,12100,2025,5
1.7.1,415,12100,2025,5
1.7.2,3368,12100,2025,5
1.9.1,6091,12100,2025,5
1.9.2,6990,12100,2025,5
1.10.1,1297,12100,2025,5
1.10.2,1622,12100,2025,5
1.10.3,3276,12100,2025,5
1.12.1,25451,12100,2025,5
1.12.2,94,12100,2025,5
2.2.1,5533,12100,2025,5
2.2.2,2017,12100,2025,5
4.1.1,219,12100,2025,5
4.1.2,3441,12100,2025,5
4.1.3,4412,12100,2025,5
5.2.1,4573,12100,2025,5
5.2.2,1430,12100,2025,5
5.2.3,321,12100,2025,5
5.3.1,1180,12100,2025,5
5.3.2,1754,12100,2025,5
5.3.3,0,12100,2025,5
5.4.1,468,12100,2025,5
5.4.2,698,12100,2025,5
5.4.3,57,12100,2025,5
7.2.1,0,12100,2025,5
7.2.2,0,12100,2025,5
7.2.3,21665,12100,2025,5
9.4.1,5781,12100,2025,5
9.4.2,52,12100,2025,5
9.4.3,2597,12100,2025,5
9.4.4,12435,12100,2025,5
10.1.1,5259,12100,2025,5
10.1.2,6600,12100,2025,5
10.1.3,1289,12100,2025,5
10.1.4,1856,12100,2025,5
10.1.5,12311,12100,2025,5
10.3.1,3146,12100,2025,5
10.3.2,292,12100,2025,5
10.3.3,313,12100,2025,5
10.3.4,953,12100,2025,5
10.3.5,276,12100,2025,5
10.3.6,1353,12100,2025,5
10.3.7,6534,12100,2025,5
1.1.1,3464,13100,2025,5
1.1.2,3277,13100,2025,5
1.1.3,1843,13100,2025,5
1.1.4,473,13100,2025,5
1.2.1,3356,13100,2025,5
1.2.2,1143,13100,2025,5
1.2.3,493,13100,2025,5
1.2.4,962,13100,2025,5
1.3.1,7513,13100,2025,5
1.3.2,1710,13100,2025,5
1.4.1,1303,13100,2025,5
1.4.2,2563,13100,2025,5
1.4.3,1064,13100,2025,5
1.5.1,7124,13100,2025,5
1.5.2,655,13100,2025,5
1.5.3,1087,13100,2025,5
1.5.4,1075,13100,2025,5
1.6.1,2814,13100,2025,5
1.6.2,407,13100,2025,5
1.7.1,422,13100,2025,5
1.7.2,3586,13100,2025,5
1.9.1,7155,13100,2025,5
1.9.2,8448,13100,2025,5
1.10.1,1455,13100,2025,5
1.10.2,1480,13100,2025,5
1.10.3,3510,13100,2025,5
1.12.1,30228,13100,2025,5
1.12.2,48,13100,2025,5
2.2.1,4787,13100,2025,5
2.2.2,2364,13100,2025,5
4.1.1,4973,13100,2025,5
4.1.2,3092,13100,2025,5
4.1.3,943,13100,2025,5
5.2.1,2404,13100,2025,5
5.2.2,3910,13100,2025,5
5.2.3,635,13100,2025,5
5.3.1,1790,13100,2025,5
5.3.2,1811,13100,2025,5
5.3.3,349,13100,2025,5
5.4.1,194,13100,2025,5
5.4.2,1161,13100,2025,5
5.4.3,328,13100,2025,5
7.2.1,0,13100,2025,5
7.2.2,149,13100,2025,5
7.2.3,14526,13100,2025,5
9.4.1,8794,13100,2025,5
9.4.2,16005,13100,2025,5
9.4.3,8951,13100,2025,5
9.4.4,14909,13100,2025,5
10.1.1,5454,13100,2025,5
10.1.2,6635,13100,2025,5
10.1.3,3103,13100,2025,5
10.1.4,1291,13100,2025,5
10.1.5,15346,13100,2025,5
10.3.1,5015,13100,2025,5
10.3.2,61,13100,2025,5
10.3.3,284,13100,2025,5
10.3.4,2364,13100,2025,5
10.3.5,266,13100,2025,5
